                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3941,                 3.0005,                 1.4906,                0.38672,                0.29761,                0.27825,                0.12432,                  1.892,                 2.5246,                 1.8146,              0.0002351,              0.0002351,              0.0002351
                      2,                 1.2922,                 1.8626,                 1.4499,                0.55118,                0.40716,                0.42188,                0.18187,                 1.9451,                 2.1088,                 1.9236,             0.00045749,             0.00045749,             0.00045749
                      3,                 1.2356,                 1.6466,                 1.3976,                0.62606,                0.42137,                0.46724,                 0.2186,                 1.8227,                 2.1393,                 1.8685,             0.00066417,             0.00066417,             0.00066417
                      4,                 1.2263,                 1.5619,                 1.3876,                0.62383,                0.47997,                0.51062,                0.23767,                 1.8753,                 2.0171,                  1.848,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.1925,                 1.4791,                 1.3568,                0.67207,                 0.4942,                0.54013,                0.24348,                 1.9595,                 1.9031,                 1.9189,             0.00064331,             0.00064331,             0.00064331
                      6,                 1.1774,                  1.425,                 1.3414,                0.67932,                0.51071,                0.54142,                0.24976,                 1.8637,                 1.7758,                 1.8445,             0.00061975,             0.00061975,             0.00061975
                      7,                 1.1555,                 1.3651,                 1.3276,                0.72626,                0.48998,                0.57362,                0.25816,                 1.9126,                 1.7084,                 1.9195,             0.00059619,             0.00059619,             0.00059619
                      8,                 1.1315,                 1.3109,                 1.3054,                0.70931,                 0.5005,                0.55965,                0.25172,                 1.8761,                 1.7201,                 1.8566,             0.00057263,             0.00057263,             0.00057263
                      9,                 1.1273,                 1.2817,                 1.3006,                0.75037,                0.53824,                0.59943,                0.28636,                 1.8606,                 1.5092,                 1.7829,             0.00054907,             0.00054907,             0.00054907
                     10,                 1.0931,                  1.235,                 1.2879,                0.77713,                0.53501,                0.60199,                0.27044,                 1.8636,                 1.5686,                 1.8213,              0.0005255,              0.0005255,              0.0005255
                     11,                 1.1001,                 1.1952,                 1.2756,                0.74156,                0.53248,                0.59347,                0.29462,                 1.7162,                  1.548,                 1.7273,             0.00050194,             0.00050194,             0.00050194
                     12,                  1.076,                  1.166,                 1.2632,                0.79138,                0.57066,                0.64172,                0.31643,                 1.7934,                 1.4145,                 1.7236,             0.00047838,             0.00047838,             0.00047838
                     13,                 1.0548,                 1.1291,                 1.2458,                0.78252,                0.57101,                0.62056,                0.31626,                 1.7364,                 1.4275,                 1.7193,             0.00045482,             0.00045482,             0.00045482
                     14,                 1.0424,                  1.102,                 1.2438,                0.81349,                 0.5974,                0.67836,                0.33766,                 1.7522,                 1.2775,                 1.7323,             0.00043126,             0.00043126,             0.00043126
                     15,                 1.0399,                 1.0852,                 1.2354,                0.77113,                0.61895,                0.68594,                0.36935,                 1.6507,                 1.2478,                 1.6317,             0.00040769,             0.00040769,             0.00040769
                     16,                 1.0329,                 1.0618,                 1.2259,                0.79488,                0.62534,                0.68903,                0.36327,                 1.6557,                 1.2369,                 1.6546,             0.00038413,             0.00038413,             0.00038413
                     17,                 1.0177,                 1.0388,                  1.216,                0.84586,                0.60076,                0.69088,                0.34861,                 1.7203,                 1.2471,                 1.7057,             0.00036057,             0.00036057,             0.00036057
                     18,                 1.0057,                 1.0246,                 1.2152,                0.78353,                0.63776,                0.69138,                0.36618,                 1.6885,                 1.1994,                 1.6479,             0.00033701,             0.00033701,             0.00033701
                     19,                0.99407,                0.99414,                 1.2052,                 0.7916,                 0.6432,                0.70457,                0.36738,                 1.6291,                 1.2217,                 1.6413,             0.00031345,             0.00031345,             0.00031345
                     20,                0.98901,                 0.9803,                 1.2006,                 0.8569,                0.61448,                0.69725,                0.38417,                 1.5861,                  1.203,                 1.6192,             0.00028988,             0.00028988,             0.00028988
                     21,                 1.0248,                0.93462,                   1.22,                0.84116,                0.64349,                0.71885,                0.39729,                 1.5762,                 1.1428,                 1.6053,             0.00026632,             0.00026632,             0.00026632
                     22,                0.99073,                0.87507,                 1.1992,                0.84797,                0.62962,                0.71706,                0.40173,                  1.545,                 1.1326,                 1.5689,             0.00024276,             0.00024276,             0.00024276
                     23,                0.98252,                0.85301,                 1.1927,                0.85872,                0.65922,                 0.7303,                0.39791,                 1.6467,                 1.1177,                 1.6217,              0.0002192,              0.0002192,              0.0002192
                     24,                 0.9755,                0.83246,                 1.1795,                0.87296,                0.64426,                0.73154,                0.41264,                 1.5678,                 1.0497,                 1.5763,             0.00019564,             0.00019564,             0.00019564
                     25,                0.95149,                 0.8158,                 1.1771,                 0.8831,                0.65476,                0.74728,                0.40978,                 1.6089,                 1.0286,                 1.6127,             0.00017207,             0.00017207,             0.00017207
                     26,                0.93855,                0.79753,                 1.1632,                0.87898,                0.65043,                0.73961,                0.41959,                 1.5574,                 1.0442,                  1.592,             0.00014851,             0.00014851,             0.00014851
                     27,                0.93129,                0.77944,                  1.159,                0.87546,                0.65666,                0.74167,                0.42537,                  1.528,                0.99962,                 1.5506,             0.00012495,             0.00012495,             0.00012495
                     28,                0.91832,                0.76511,                 1.1503,                0.88585,                0.66621,                0.75533,                0.43816,                 1.5176,                0.99256,                 1.5464,             0.00010139,             0.00010139,             0.00010139
                     29,                0.91041,                0.75284,                 1.1443,                0.85539,                0.68187,                0.75389,                0.42715,                 1.5624,                0.98746,                  1.585,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                0.89939,                 0.7417,                 1.1385,                0.90097,                 0.6604,                0.76099,                0.43457,                 1.5087,                0.97694,                 1.5504,             5.4264e-05,             5.4264e-05,             5.4264e-05
